"evaluation of sin","difference from sin","relative error"
"8.2255816108298438e-14","8.2623210148042644e-14","-224.88990350950752"
"-0.047106450709531927","1.1172313074681028e-13","-2.3717161676105283e-12"
"-0.094108313318496672","1.9234613901630837e-14","-2.0438804206946089e-13"
"-0.14090123193753545","4.9404924595819466e-14","-3.5063515000141665e-13"
"-0.1873813145855926","1.3483658634072526e-13","-7.1958394911909517e-13"
"-0.23344536385589915","9.631184738623233e-15","-4.1256697411082285e-14"
"-0.27899110603937771","-1.4449552665496412e-13","5.1792162376188582e-13"
"-0.32391741819805991","9.3980379034519501e-14","-2.9013684894533135e-13"
"-0.36812455268461841","6.4503957730721595e-14","-1.7522318807670635e-13"
"-0.41151435860513458","-2.0372592501871623e-14","4.950639528333201e-14"
"-0.45399049973941169","1.4099832412739488e-13","-3.1057549487992246e-13"
"-0.49545866843243958","-2.581268532253489e-14","5.2098564354931726e-14"
"-0.53582679497883623","1.6697754290362354e-13","-3.1162596657781306e-13"
"-0.57500525204342123","-1.3578027591165664e-13","2.3613745340440008e-13"
"-0.61290705365300868","-2.5091040356528538e-14","4.0937757539228144e-14"
"-0.64944804833011927","7.1720407390785113e-14","-1.1043286306762628e-13"
"-0.68454710592874513","-4.8960835385969403e-14","7.1522960161443241e-14"
"-0.71812629776319103","5.3290705182007514e-15","-7.4207984511911355e-15"
"-0.75011106963045637","1.0769163338864018e-14","-1.4356758318697141e-14"
"-0.78043040733829583","4.1522341120980855e-14","-5.3204412245536476e-14"
"-0.80901699437503383","-7.8825834748386114e-14","9.7434090132169356e-14"
"-0.83580736136829425","-1.6653345369377348e-14","1.9924860846062192e-14"
"-0.86074202700398506","-3.4305891460917337e-14","3.9856182671047703e-14"
"-0.88376563008869236","7.8825834748386114e-15","-8.9193143594501026e-15"
"-0.90482705246605788","-3.1863400806741993e-14","3.521490733494441e-14"
"-0.92387953251134047","-4.7628567756419216e-14","5.1552790250645622e-14"
"-0.94088076895422379","7.3274719625260332e-15","-7.7878857813943444e-15"
"-0.95579301479834822","-1.3100631690576847e-14","1.370655726474521e-14"
"-0.96858316112867149","-3.5971225997855072e-14","3.7137984059045403e-14"
"-0.97922281062178551","-1.5987211554602254e-14","1.6326428858873271e-14"
